Tªn Trang BÞ	ItemGenre	DetailType	ParticularType	SPR		Ngang	Däc				Level																																			Dßng HiÖn	Dßng Èn	Dßng HiÖn	Dßng Èn	Dßng HiÖn	Dßng Èn	Opt	Opt		Skill	Dßng Cuèi		
NguyÖt KhuyÕt T­¬ng T­ H¾c Ngäc ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring88.spr	37	1	1	Bé trang bÞ Thóy Yªn §ao cÊp NguyÖt KhuyÕt (10)	3	99999	10	0																						36	150	39	5									1711	2391	1751	1831	2111	2191	693	720	10		1670	2	12
NguyÖt KhuyÕt Phong NguyÖt Ch©u Liªn	0	4	0	\spr\item\equip\nick\obj-neck88.spr	36	2	1	Bé trang bÞ Thóy Yªn Song §ao cÊp NguyÖt KhuyÕt (1)	0	99999	10	0																						36	150	39	5									1711	2431	1751	1871	2151	2191	694	721	1	1254	2231	2	12
NguyÖt KhuyÕt Phong NguyÖt Tr©m	0	7	9	\spr\item\equip\cap\obj-fm-cap97.spr	28	2	2	Bé trang bÞ Thóy Yªn Song §ao cÊp NguyÖt KhuyÕt (2)	2	99999	10	0	30	360	360	31	85	85																36	150	39	5									1711	2271	1751	1791	2111	2633	694	721	2		2231	2	12
NguyÖt KhuyÕt Phong NguyÖt Lung Linh  ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring88.spr	37	1	1	Bé trang bÞ Thóy Yªn Song §ao cÊp NguyÖt KhuyÕt (3)	1	99999	10	0																						36	150	39	5									1711	2351	1751	1911	2111	2191	694	721	3		1670	2	12
NguyÖt KhuyÕt Phong NguyÖt Hoa Sinh Thñ Tr¹c	0	8	0	\Spr\item\equip\bangle\obj-bangle88.spr	35	1	2	Bé trang bÞ Thóy Yªn Song §ao cÊp NguyÖt KhuyÕt (4)	3	99999	10	0	30	135	135	31	80	80																36	150	39	5									1711	2311	1751	1791	2111	2191	694	721	4		2791	2	12
NguyÖt KhuyÕt Phong NguyÖt Ti §¸i	0	6	0	\spr\item\equip\sash\obj-sash88.spr	33	2	1	Bé trang bÞ Thóy Yªn Song §ao cÊp NguyÖt KhuyÕt (5)	4	99999	10	0	30	160	160	31	80	80																36	150	39	5									1711	2391	1751	1831	2111	2191	694	721	5	1248	2231	2	12
NguyÖt KhuyÕt Phong NguyÖt Th¸i §iÖp Y	0	2	9	\spr\item\equip\armor\obj-fm-cloth97.spr	24	2	3	Bé trang bÞ Thóy Yªn Song §ao cÊp NguyÖt KhuyÕt (6)	0	99999	10	0	30	720	720	31	90	90																36	150	39	5									1711	2431	1751	1871	2615	2633	694	721	6	1270	2791	2	12
NguyÖt KhuyÕt Phong NguyÖt Uyªn ¦¬ng §ao	0	0	5	\spr\item\equip\weapon\obj-adsd28.spr	14	2	3	Bé trang bÞ Thóy Yªn Song §ao cÊp NguyÖt KhuyÕt (7)	2	99999	10	0	28	62	62	29	92	92	167	-30	-30	31	99	99										36	150	39	5									2736	2271	2471	1791	2111	2633	694	721	7		1670	2	12
NguyÖt KhuyÕt Phong NguyÖt Ngoa	0	5	3	\spr\item\equip\boots\obj-shoes97.spr	27	2	2	Bé trang bÞ Thóy Yªn Song §ao cÊp NguyÖt KhuyÕt (8)	1	99999	10	0	30	160	160	31	80	80																36	150	39	5									1711	2351	1751	1911	1951	2191	694	721	8	1266	2231	2	12
NguyÖt KhuyÕt Phong NguyÖt H­¬ng Nang	0	9	0	\spr\item\equip\waist\obj-waist88.spr	36	1	2	Bé trang bÞ Thóy Yªn Song §ao cÊp NguyÖt KhuyÕt (9)	3	99999	10	0																						36	150	39	5									1711	2311	1751	1791	2111	2191	694	721	9	1260	2231	2	12
NguyÖt KhuyÕt Phong NguyÖt San Hå ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring88.spr	37	1	1	Bé trang bÞ Thóy Yªn Song §ao cÊp NguyÖt KhuyÕt (10)	4	99999	10	0																						36	150	39	5									1711	2391	1751	1831	2111	2191	694	721	10		1670	2	12
NguyÖt KhuyÕt B¸ch §éc H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck87.spr	36	2	1	Bé trang bÞ Ngò §éc Ch­ëng cÊp NguyÖt KhuyÕt (1)	0	99999	10	0																						36	150	39	3									1711	2431	1751	1871	2151	2191	695	722	1	1282	2231	2	12
NguyÖt KhuyÕt B¸ch §éc Ph¸t §¸i	0	7	2	\spr\item\equip\cap\obj-ma-cap94.spr	28	2	2	Bé trang bÞ Ngò §éc Ch­ëng cÊp NguyÖt KhuyÕt (2)	2	99999	10	0	30	360	360	31	85	85																36	150	39	3									1711	2271	1751	1791	2111	2653	695	722	2		2231	2	12
NguyÖt KhuyÕt B¸ch §éc HuyÕt TÝch ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring87.spr	37	1	1	Bé trang bÞ Ngò §éc Ch­ëng cÊp NguyÖt KhuyÕt (3)	1	99999	10	0																						36	150	39	3									1711	2351	1751	1911	2111	2191	695	722	3		1670	2	12
NguyÖt KhuyÕt B¸ch §éc Hé UyÓn	0	8	1	\Spr\item\equip\bangle\obj-bangle87.spr	34	1	2	Bé trang bÞ Ngò §éc Ch­ëng cÊp NguyÖt KhuyÕt (4)	3	99999	10	0	30	135	135	31	80	80																36	150	39	3									1711	2311	1751	1791	2111	2191	695	722	4		2791	2	12
NguyÖt KhuyÕt B¸ch §éc Yªu §¸i	0	6	1	\spr\item\equip\sash\obj-sash87.spr	32	2	1	Bé trang bÞ Ngò §éc Ch­ëng cÊp NguyÖt KhuyÕt (5)	4	99999	10	0	30	160	160	31	80	80																36	150	39	3									1711	2391	1751	1831	2111	2191	695	722	5	1276	2231	2	12
NguyÖt KhuyÕt B¸ch §éc Cæ Y	0	2	2	\spr\item\equip\armor\obj-ma-cloth94.spr	22	2	3	Bé trang bÞ Ngò §éc Ch­ëng cÊp NguyÖt KhuyÕt (6)	0	99999	10	0	30	720	720	31	90	90																36	150	39	3									1711	2431	1751	1871	2615	2653	695	722	6	1298	2791	2	12
NguyÖt KhuyÕt B¸ch §éc TriÒn Thñ	0	0	6	\spr\item\equip\weapon\obj-glove15.spr	9	1	2	Bé trang bÞ Ngò §éc Ch­ëng cÊp NguyÖt KhuyÕt (7)	2	99999	10	0	28	40	40	29	114	114	167	-30	-30	31	99	99										36	150	39	3									2735	2271	2591	1791	2111	2653	695	722	7		1670	2	12
NguyÖt KhuyÕt B¸ch §éc Ngoa	0	5	1	\spr\item\equip\boots\obj-shoes94.spr	26	2	2	Bé trang bÞ Ngò §éc Ch­ëng cÊp NguyÖt KhuyÕt (8)	1	99999	10	0	30	160	160	31	80	80																36	150	39	3									1711	2351	1751	1911	1951	2191	695	722	8	1294	2231	2	12
NguyÖt KhuyÕt B¸ch §éc Yªu Trôy	0	9	1	\spr\item\equip\waist\obj-waist87.spr	36	1	2	Bé trang bÞ Ngò §éc Ch­ëng cÊp NguyÖt KhuyÕt (9)	3	99999	10	0																						36	150	39	3									1711	2311	1751	1791	2111	2191	695	722	9	1288	2231	2	12
NguyÖt KhuyÕt B¸ch §éc Kh« L©u ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring87.spr	37	1	1	Bé trang bÞ Ngò §éc Ch­ëng cÊp NguyÖt KhuyÕt (10)	4	99999	10	0																						36	150	39	3									1711	2391	1751	1831	2111	2191	695	722	10		1670	2	12
NguyÖt KhuyÕt U Minh H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck87.spr	36	2	1	Bé trang bÞ Ngò §éc §ao cÊp NguyÖt KhuyÕt (1)	0	99999	10	0																						36	150	39	3									1711	2431	1751	1871	2151	2191	696	723	1	1310	2231	2	12
NguyÖt KhuyÕt U Minh Ph¸t §¸i	0	7	2	\spr\item\equip\cap\obj-ma-cap94.spr	28	2	2	Bé trang bÞ Ngò §éc §ao cÊp NguyÖt KhuyÕt (2)	2	99999	10	0	30	360	360	31	85	85																36	150	39	3									1711	2271	1751	1791	2111	2653	696	723	2		2231	2	12
NguyÖt KhuyÕt U Minh HuyÒn Minh Giíi	0	3	0	\spr\item\equip\ring\obj-ring87.spr	37	1	1	Bé trang bÞ Ngò §éc §ao cÊp NguyÖt KhuyÕt (3)	1	99999	10	0																						36	150	39	3									1711	2351	1751	1911	2111	2191	696	723	3		1670	2	12
NguyÖt KhuyÕt U Minh Hé UyÓn	0	8	1	\Spr\item\equip\bangle\obj-bangle87.spr	34	1	2	Bé trang bÞ Ngò §éc §ao cÊp NguyÖt KhuyÕt (4)	3	99999	10	0	30	135	135	31	80	80																36	150	39	3									1711	2311	1751	1791	2111	2191	696	723	4	1322	2791	2	12
NguyÖt KhuyÕt U Minh Yªu §¸i	0	6	1	\spr\item\equip\sash\obj-sash87.spr	33	2	1	Bé trang bÞ Ngò §éc §ao cÊp NguyÖt KhuyÕt (5)	4	99999	10	0	30	160	160	31	80	80																36	150	39	3									1711	2391	1751	1831	2111	2191	696	723	5	1304	2231	2	12
NguyÖt KhuyÕt U Minh Hé Gi¸p	0	2	2	\spr\item\equip\armor\obj-ma-cloth94.spr	22	2	3	Bé trang bÞ Ngò §éc §ao cÊp NguyÖt KhuyÕt (6)	0	99999	10	0	30	720	720	31	90	90																36	150	39	3									1711	2431	1751	1871	2615	2653	696	723	6	1326	2791	2	12
NguyÖt KhuyÕt U Minh HuyÕt NhÉn	0	0	1	\spr\item\equip\weapon\obj-blade42.spr	10	1	4	Bé trang bÞ Ngò §éc §ao cÊp NguyÖt KhuyÕt (7)	2	99999	10	0	28	40	40	29	114	114	167	-30	-30	31	99	99										36	150	39	3									2715	2271	1991	2031	2111	2653	696	723	7		1670	2	12
NguyÖt KhuyÕt U Minh Ngoa	0	5	1	\spr\item\equip\boots\obj-shoes94.spr	26	2	2	Bé trang bÞ Ngò §éc §ao cÊp NguyÖt KhuyÕt (8)	1	99999	10	0	30	160	160	31	80	80																36	150	39	3									1711	2351	1751	1911	1951	2191	696	723	8		2231	2	12
NguyÖt KhuyÕt U Minh Yªu Trôy	0	9	1	\spr\item\equip\waist\obj-waist87.spr	36	1	2	Bé trang bÞ Ngò §éc §ao cÊp NguyÖt KhuyÕt (9)	3	99999	10	0																						36	150	39	3									1711	2311	1751	1791	2111	2191	696	723	9	1316	2231	2	12
NguyÖt KhuyÕt U Minh U Minh Giíi	0	3	0	\spr\item\equip\ring\obj-ring87.spr	37	1	1	Bé trang bÞ Ngò §éc §ao cÊp NguyÖt KhuyÕt (10)	4	99999	10	0																						36	150	39	3									1711	2391	1751	1831	2111	2191	696	723	10		1670	2	12
NguyÖt KhuyÕt Th«i MÖnh H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck87.spr	36	2	1	Bé trang bÞ §­êng M«n Phi §ao cÊp NguyÖt KhuyÕt (1)	4	99999	10	0																						36	150	39	2									1711	2431	1751	1871	2151	2191	697	724	1	1338	2231	2	12
NguyÖt KhuyÕt Th«i MÖnh Qu¸n	0	7	2	\spr\item\equip\cap\obj-ma-cap95.spr	28	2	2	Bé trang bÞ §­êng M«n Phi §ao cÊp NguyÖt KhuyÕt (2)	0	99999	10	0	30	360	360	31	85	85																36	150	39	2									1711	2271	1751	1791	2111	2808	697	724	2	1350	2231	2	12
NguyÖt KhuyÕt Th«i MÖnh Phi Hoa ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring87.spr	37	1	1	Bé trang bÞ §­êng M«n Phi §ao cÊp NguyÖt KhuyÕt (3)	2	99999	10	0																						36	150	39	2									1711	2351	1751	1911	2111	2191	697	724	3		1670	2	12
NguyÖt KhuyÕt Th«i MÖnh Hé UyÓn	0	8	1	\Spr\item\equip\bangle\obj-bangle87.spr	34	1	2	Bé trang bÞ §­êng M«n Phi §ao cÊp NguyÖt KhuyÕt (4)	1	99999	10	0	30	135	135	31	80	80																36	150	39	2									1711	2311	1751	1791	2111	2191	697	724	4		2791	2	12
NguyÖt KhuyÕt Th«i MÖnh TriÒn Yªu	0	6	0	\spr\item\equip\sash\obj-sash87.spr	32	2	1	Bé trang bÞ §­êng M«n Phi §ao cÊp NguyÖt KhuyÕt (5)	3	99999	10	0	30	160	160	31	80	80																36	150	39	2									1711	2391	1751	1831	2111	2191	697	724	5	1332	2231	2	12
NguyÖt KhuyÕt Th«i MÖnh Gi¸p	0	2	3	\spr\item\equip\armor\obj-ma-cloth95.spr	22	2	3	Bé trang bÞ §­êng M«n Phi §ao cÊp NguyÖt KhuyÕt (6)	4	99999	10	0	30	720	720	31	90	90																36	150	39	2									1711	2431	1751	1871	2615	2808	697	724	6	1354	2791	2	12
NguyÖt KhuyÕt Th«i MÖnh Phi §ao	0	1	1	\spr\item\equip\weapon\obj-adart36.spr	15	1	1	Bé trang bÞ §­êng M«n Phi §ao cÊp NguyÖt KhuyÕt (7)	0	99999	10	0	28	44	44	29	100	100	167	-30	-30	31	99	99										36	150	39	2									2718	2271	1991	1791	2111	2808	697	724	7		1670	2	12
NguyÖt KhuyÕt Th«i MÖnh LÝ	0	5	1	\spr\item\equip\boots\obj-shoes95.spr	26	2	2	Bé trang bÞ §­êng M«n Phi §ao cÊp NguyÖt KhuyÕt (8)	2	99999	10	0	30	160	160	31	80	80																36	150	39	2									1711	2351	1751	1911	1951	2191	697	724	8		2231	2	12
NguyÖt KhuyÕt Th«i MÖnh Béi	0	9	1	\spr\item\equip\waist\obj-waist87.spr	36	1	2	Bé trang bÞ §­êng M«n Phi §ao cÊp NguyÖt KhuyÕt (9)	1	99999	10	0																						36	150	39	2									1711	2311	1751	1791	2111	2191	697	724	9	1344	2231	2	12
NguyÖt KhuyÕt Th«i MÖnh TÝch DiÖp ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring87.spr	37	1	1	Bé trang bÞ §­êng M«n Phi §ao cÊp NguyÖt KhuyÕt (10)	3	99999	10	0																						36	150	39	2									1711	2391	1751	1831	2111	2191	697	724	10		1670	2	12
NguyÖt KhuyÕt BÝ §éc H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck87.spr	36	2	1	Bé trang bÞ §­êng M«n Phi Ná cÊp NguyÖt KhuyÕt (1)	4	99999	10	0																						36	150	39	2									1711	2431	1751	1871	2151	2191	698	725	1	1338	2231	2	12
NguyÖt KhuyÕt BÝ §éc Qu¸n	0	7	2	\spr\item\equip\cap\obj-ma-cap95.spr	28	2	2	Bé trang bÞ §­êng M«n Phi Ná cÊp NguyÖt KhuyÕt (2)	0	99999	10	0	30	360	360	31	85	85																36	150	39	2									1711	2271	1751	1791	2111	2808	698	725	2		2231	2	12
NguyÖt KhuyÕt BÝ §éc Linh Xµ ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring87.spr	37	1	1	Bé trang bÞ §­êng M«n Phi Ná cÊp NguyÖt KhuyÕt (3)	2	99999	10	0																						36	150	39	2									1711	2351	1751	1911	2111	2191	698	725	3		1670	2	12
NguyÖt KhuyÕt BÝ §éc Hé UyÓn	0	8	1	\Spr\item\equip\bangle\obj-bangle87.spr	34	1	2	Bé trang bÞ §­êng M«n Phi Ná cÊp NguyÖt KhuyÕt (4)	1	99999	10	0	30	135	135	31	80	80																36	150	39	2									1711	2311	1751	1791	2111	2191	698	725	4		2791	2	12
NguyÖt KhuyÕt BÝ §éc Thóc Yªu	0	6	0	\spr\item\equip\sash\obj-sash87.spr	32	2	1	Bé trang bÞ §­êng M«n Phi Ná cÊp NguyÖt KhuyÕt (5)	3	99999	10	0	30	160	160	31	80	80																36	150	39	2									1711	2391	1751	1831	2111	2191	698	725	5	1332	2231	2	12
NguyÖt KhuyÕt BÝ §éc Gi¸p Y	0	2	3	\spr\item\equip\armor\obj-ma-cloth95.spr	22	2	3	Bé trang bÞ §­êng M«n Phi Ná cÊp NguyÖt KhuyÕt (6)	4	99999	10	0	30	720	720	31	90	90																36	150	39	2									1711	2431	1751	1871	2615	2808	698	725	6	1370	2791	2	12
NguyÖt KhuyÕt BÝ §éc Tô TiÔn	0	1	2	\spr\item\equip\weapon\obj-adart37.spr	17	2	2	Bé trang bÞ §­êng M«n Phi Ná cÊp NguyÖt KhuyÕt (7)	0	99999	10	0	28	46	46	29	102	102	167	-30	-30	31	99	99										36	150	39	2									2718	2271	1991	1791	2111	2808	698	725	7		1670	2	12
NguyÖt KhuyÕt BÝ §éc LÝ	0	5	1	\spr\item\equip\boots\obj-shoes95.spr	26	2	2	Bé trang bÞ §­êng M«n Phi Ná cÊp NguyÖt KhuyÕt (8)	2	99999	10	0	30	160	160	31	80	80																36	150	39	2									1711	2351	1751	1911	1951	2191	698	725	8	1366	2231	2	12
NguyÖt KhuyÕt BÝ §éc Yªu Trôy	0	9	1	\spr\item\equip\waist\obj-waist87.spr	36	1	2	Bé trang bÞ §­êng M«n Phi Ná cÊp NguyÖt KhuyÕt (9)	1	99999	10	0																						36	150	39	2									1711	2311	1751	1791	2111	2191	698	725	9	1360	2231	2	12
NguyÖt KhuyÕt BÝ §éc Kim ThiÒm ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring87.spr	37	1	1	Bé trang bÞ §­êng M«n Phi Ná cÊp NguyÖt KhuyÕt (10)	3	99999	10	0																						36	150	39	2									1711	2391	1751	1831	2111	2191	698	725	10		1670	2	12
NguyÖt KhuyÕt M¹n §å H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck87.spr	36	2	1	Bé trang bÞ §­êng M«n Phi Tiªu cÊp NguyÖt KhuyÕt (1)	4	99999	10	0																						36	150	39	2									1711	2431	1751	1871	2151	2191	699	726	1	1338	2231	2	12
NguyÖt KhuyÕt M¹n §å Ph¸t Qu¸n	0	7	2	\spr\item\equip\cap\obj-ma-cap95.spr	28	2	2	Bé trang bÞ §­êng M«n Phi Tiªu cÊp NguyÖt KhuyÕt (2)	0	99999	10	0	30	360	360	31	85	85																36	150	39	2									1711	2271	1751	1791	2111	2808	699	726	2		2231	2	12
NguyÖt KhuyÕt M¹n §å NhiÕp Ph¸ch ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring87.spr	37	1	1	Bé trang bÞ §­êng M«n Phi Tiªu cÊp NguyÖt KhuyÕt (3)	2	99999	10	0																						36	150	39	2									1711	2351	1751	1911	2111	2191	699	726	3		1670	2	12
NguyÖt KhuyÕt M¹n §å Hé UyÓn	0	8	1	\Spr\item\equip\bangle\obj-bangle87.spr	34	1	2	Bé trang bÞ §­êng M«n Phi Tiªu cÊp NguyÖt KhuyÕt (4)	1	99999	10	0	30	135	135	31	80	80																36	150	39	2									1711	2311	1751	1791	2111	2191	699	726	4	1382	2791	2	12
NguyÖt KhuyÕt M¹n §å Thóc Yªu	0	6	0	\spr\item\equip\sash\obj-sash87.spr	32	2	1	Bé trang bÞ §­êng M«n Phi Tiªu cÊp NguyÖt KhuyÕt (5)	3	99999	10	0	30	160	160	31	80	80																36	150	39	2									1711	2391	1751	1831	2111	2191	699	726	5	1332	2231	2	12
NguyÖt KhuyÕt M¹n §å Gi¸p Y	0	2	3	\spr\item\equip\armor\obj-ma-cloth95.spr	22	2	3	Bé trang bÞ §­êng M«n Phi Tiªu cÊp NguyÖt KhuyÕt (6)	4	99999	10	0	30	720	720	31	90	90																36	150	39	2									1711	2431	1751	1871	2615	2808	699	726	6	1386	2791	2	12
NguyÖt KhuyÕt M¹n §å Phi Tiªu	0	1	0	\spr\item\equip\weapon\obj-adart38.spr	15	1	1	Bé trang bÞ §­êng M«n Phi Tiªu cÊp NguyÖt KhuyÕt (7)	0	99999	10	0	28	42	42	29	98	98	167	-30	-30	31	99	99										36	150	39	2									2718	2271	1991	1791	2111	2808	699	726	7		1670	2	12
NguyÖt KhuyÕt M¹n §å LÝ	0	5	1	\spr\item\equip\boots\obj-shoes95.spr	26	2	2	Bé trang bÞ §­êng M«n Phi Tiªu cÊp NguyÖt KhuyÕt (8)	2	99999	10	0	30	160	160	31	80	80																36	150	39	2									1711	2351	1751	1911	1951	2191	699	726	8		2231	2	12
NguyÖt KhuyÕt M¹n §å Yªu Trôy	0	9	1	\spr\item\equip\waist\obj-waist87.spr	34	1	2	Bé trang bÞ §­êng M«n Phi Tiªu cÊp NguyÖt KhuyÕt (9)	1	99999	10	0																						36	150	39	2									1711	2311	1751	1791	2111	2191	699	726	9	1376	2231	2	12
NguyÖt KhuyÕt M¹n §å §o¹t Hån ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring87.spr	37	1	1	Bé trang bÞ §­êng M«n Phi Tiªu cÊp NguyÖt KhuyÕt (10)	3	99999	10	0																						36	150	39	2									1711	2391	1751	1831	2111	2191	699	726	10		1670	2	12
NguyÖt KhuyÕt XÝch Long H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck89.spr	36	2	1	Bé trang bÞ C¸i Bang Ch­ëng cÊp NguyÖt KhuyÕt (1)	1	99999	10	0																						36	150	39	6									1711	2431	1751	1871	2151	2191	700	727	1	1398	2231	2	12
NguyÖt KhuyÕt XÝch Long §Çu Hoµn	0	7	5	\spr\item\equip\cap\obj-ma-cap99.spr	28	2	2	Bé trang bÞ C¸i Bang Ch­ëng cÊp NguyÖt KhuyÕt (2)	3	99999	10	0	30	360	360	31	85	85																36	150	39	6									1711	2271	1751	1791	2111	2848	700	727	2		2231	2	12
NguyÖt KhuyÕt XÝch Long V¹n Ch­ëng ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring89.spr	37	1	1	Bé trang bÞ C¸i Bang Ch­ëng cÊp NguyÖt KhuyÕt (3)	4	99999	10	0																						36	150	39	6									1711	2351	1751	1911	2111	2191	700	727	3		1670	2	12
NguyÖt KhuyÕt XÝch Long Hé UyÓn	0	8	1	\Spr\item\equip\bangle\obj-bangle89.spr	34	1	2	Bé trang bÞ C¸i Bang Ch­ëng cÊp NguyÖt KhuyÕt (4)	0	99999	10	0	30	135	135	31	80	80																36	150	39	6									1711	2311	1751	1791	2111	2191	700	727	4	1410	2791	2	12
NguyÖt KhuyÕt XÝch Long Thóc Yªu	0	6	0	\spr\item\equip\sash\obj-sash89.spr	32	2	1	Bé trang bÞ C¸i Bang Ch­ëng cÊp NguyÖt KhuyÕt (5)	2	99999	10	0	30	160	160	31	80	80																36	150	39	6									1711	2391	1751	1831	2111	2191	700	727	5	1392	2231	2	12
NguyÖt KhuyÕt XÝch Long C¸i Y	0	2	5	\spr\item\equip\armor\obj-ma-cloth99.spr	22	2	3	Bé trang bÞ C¸i Bang Ch­ëng cÊp NguyÖt KhuyÕt (6)	1	99999	10	0	30	720	720	31	90	90																36	150	39	6									1711	2431	1751	1871	2615	2848	700	727	6	1414	2791	2	12
NguyÖt KhuyÕt XÝch Long TriÒn Thñ	0	0	6	\spr\item\equip\weapon\obj-glove16.spr	9	1	2	Bé trang bÞ C¸i Bang Ch­ëng cÊp NguyÖt KhuyÕt (7)	3	99999	10	0	28	40	40	29	100	100	167	-30	-30	31	99	99										36	150	39	6									2736	2271	2511	1791	2111	2848	700	727	7		1670	2	12
NguyÖt KhuyÕt XÝch Long Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes99.spr	26	2	2	Bé trang bÞ C¸i Bang Ch­ëng cÊp NguyÖt KhuyÕt (8)	4	99999	10	0	30	160	160	31	80	80																36	150	39	6									1711	2351	1751	1911	1951	2191	700	727	8		2231	2	12
NguyÖt KhuyÕt XÝch Long Yªu Trôy	0	9	1	\spr\item\equip\waist\obj-waist89.spr	36	1	2	Bé trang bÞ C¸i Bang Ch­ëng cÊp NguyÖt KhuyÕt (9)	0	99999	10	0																						36	150	39	6									1711	2311	1751	1791	2111	2191	700	727	9	1404	2231	2	12
NguyÖt KhuyÕt XÝch Long Thiªn Lý ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring89.spr	37	1	1	Bé trang bÞ C¸i Bang Ch­ëng cÊp NguyÖt KhuyÕt (10)	2	99999	10	0																						36	150	39	6									1711	2391	1751	1831	2111	2191	700	727	10		1670	2	12
NguyÖt KhuyÕt Hµo KiÖt H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck89.spr	36	2	1	Bé trang bÞ C¸i Bang Bæng cÊp NguyÖt KhuyÕt (1)	0	99999	10	0																						36	150	39	6									1711	2431	1751	1871	2151	2191	701	728	1	1426	2231	2	12
NguyÖt KhuyÕt Hµo KiÖt §Çu Hoµn	0	7	5	\spr\item\equip\cap\obj-ma-cap99.spr	28	2	2	Bé trang bÞ C¸i Bang Bæng cÊp NguyÖt KhuyÕt (2)	2	99999	10	0	30	360	360	31	85	85																36	150	39	6									1711	2271	1751	1791	2111	2673	701	728	2		2231	2	12
NguyÖt KhuyÕt Hµo KiÖt Lôc Long Ph¶n ChØ	0	3	0	\spr\item\equip\ring\obj-ring89.spr	37	1	1	Bé trang bÞ C¸i Bang Bæng cÊp NguyÖt KhuyÕt (3)	1	99999	10	0																						36	150	39	6									1711	2351	1751	1911	2111	2191	701	728	3		1670	2	12
NguyÖt KhuyÕt Hµo KiÖt Hé UyÓn	0	8	1	\Spr\item\equip\bangle\obj-bangle89.spr	34	1	2	Bé trang bÞ C¸i Bang Bæng cÊp NguyÖt KhuyÕt (4)	3	99999	10	0	30	135	135	31	80	80																36	150	39	6									1711	2311	1751	1791	2111	2191	701	728	4		2791	2	12
NguyÖt KhuyÕt Hµo KiÖt Thóc Yªu	0	6	0	\spr\item\equip\sash\obj-sash89.spr	33	2	1	Bé trang bÞ C¸i Bang Bæng cÊp NguyÖt KhuyÕt (5)	4	99999	10	0	30	160	160	31	80	80																36	150	39	6									1711	2391	1751	1831	2111	2191	701	728	5	1420	2231	2	12
NguyÖt KhuyÕt Hµo KiÖt C¸i Y	0	2	5	\spr\item\equip\armor\obj-ma-cloth99.spr	22	2	3	Bé trang bÞ C¸i Bang Bæng cÊp NguyÖt KhuyÕt (6)	0	99999	10	0	30	720	720	31	90	90																36	150	39	6									1711	2431	1751	1871	2615	2673	701	728	6	1442	2791	2	12
NguyÖt KhuyÕt Hµo KiÖt Tr­îng	0	0	2	\spr\item\equip\weapon\obj-spear29.spr	11	1	4	Bé trang bÞ C¸i Bang Bæng cÊp NguyÖt KhuyÕt (7)	2	99999	10	0	28	69	69	29	128	128	167	-30	-30	31	99	99										36	150	39	6									2716	2271	1991	2031	2111	2673	701	728	7		1670	2	12
NguyÖt KhuyÕt Hµo KiÖt Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes99.spr	26	2	2	Bé trang bÞ C¸i Bang Bæng cÊp NguyÖt KhuyÕt (8)	1	99999	10	0	30	160	160	31	80	80																36	150	39	6									1711	2351	1751	1911	1951	2191	701	728	8	1438	2231	2	12
NguyÖt KhuyÕt Hµo KiÖt Yªu Trôy	0	9	1	\spr\item\equip\waist\obj-waist89.spr	36	1	2	Bé trang bÞ C¸i Bang Bæng cÊp NguyÖt KhuyÕt (9)	3	99999	10	0																						36	150	39	6									1711	2311	1751	1791	2111	2191	701	728	9	1432	2231	2	12
NguyÖt KhuyÕt Hµo KiÖt Linh Th¹ch Ph¶n ChØ	0	3	0	\spr\item\equip\ring\obj-ring89.spr	37	1	1	Bé trang bÞ C¸i Bang Bæng cÊp NguyÖt KhuyÕt (10)	4	99999	10	0																						36	150	39	6									1711	2391	1751	1831	2111	2191	701	728	10		1670	2	12
NguyÖt KhuyÕt Tham Lang H¹ng QuyÓn	0	4	1	\spr\item\equip\nick\obj-neck89.spr	36	2	1	Bé trang bÞ Thiªn NhÉn M©u cÊp NguyÖt KhuyÕt (1)	0	99999	10	0																						36	150	39	7									1711	2431	1751	1871	2151	2191	702	729	1	1454	2231	2	12
